1703769300000 42680.01000000 42933.42000000 42680.01000000 42847.72000000 460.20647000 1703770199999 19706784.79728570 21096 243.45875000 10424594.48069290 0
1703770200000 42847.73000000 42902.00000000 42722.85000000 42831.09000000 391.27723000 1703771099999 16748804.99156960 18218 199.96226000 8559631.64651200 0
1703771100000 42831.09000000 42887.89000000 42789.30000000 42792.95000000 276.67952000 1703771999999 11856399.49148370 13678 155.00335000 6642100.76221640 0
1703772000000 42792.95000000 42826.22000000 42630.00000000 42720.01000000 554.36378000 1703772899999 23684313.46507480 21495 295.18634000 12611835.26263830 0
1703772900000 42720.00000000 42772.00000000 42580.62000000 42758.87000000 828.73011000 1703773799999 35366283.78182970 32757 444.07978000 18950157.99297060 0
1703773800000 42758.88000000 42810.02000000 42592.87000000 42592.88000000 458.31715000 1703774699999 19576666.87271930 24152 214.62240000 9168869.10784920 0
1703774700000 42592.87000000 42664.00000000 42430.00000000 42664.00000000 1003.53378000 1703775599999 42713857.63588030 30936 462.96896000 19709353.59058840 0
1703775600000 42664.00000000 42710.44000000 42545.56000000 42619.87000000 535.89733000 1703776499999 22856030.06808470 20157 257.63846000 10987712.53797450 0
1703776500000 42619.86000000 42629.99000000 42432.12000000 42444.75000000 715.43280000 1703777399999 30410442.36377500 23237 368.73150000 15671382.53366180 0
1703777400000 42444.76000000 42523.86000000 42401.01000000 42429.40000000 590.86047000 1703778299999 25085300.26722940 19380 249.56895000 10596677.46089280 0
1703778300000 42429.40000000 42524.72000000 42404.00000000 42445.99000000 485.93601000 1703779199999 20629368.36279500 15796 267.26598000 11344989.42406770 0
1703779200000 42445.99000000 42485.17000000 42335.06000000 42400.87000000 722.60822000 1703780099999 30631169.49732790 22091 358.66093000 15201160.03549270 0
1703780100000 42400.86000000 42406.06000000 42241.79000000 42324.05000000 503.77091000 1703780999999 21325622.85568990 17196 253.65247000 10737394.55229880 0
1703781000000 42324.04000000 42523.84000000 42300.00000000 42483.91000000 418.04116000 1703781899999 17743186.25474890 20986 249.06023000 10570197.48391300 0
1703781900000 42483.90000000 42564.51000000 42432.01000000 42456.07000000 372.11184000 1703782799999 15813400.17148680 13344 209.66940000 8909482.34163680 0
1703782800000 42456.07000000 42531.10000000 42456.06000000 42505.99000000 383.85214000 1703783699999 16310802.39349500 12055 229.99190000 9772274.93489950 0
